mensaje , status 
2020-01-05 13:42:20.568859;CARdiEISR9CaJa5CAIxy7g;they say Santa comes once a yer Chuck Norris comes twice a year
2020-01-05 13:42:19.576875;6n17og8kt4e2bae8a4v7zq;Chuck Norris once sued Burger King after they refused to put razor wire in his Whopper Jr, insisting that that actually is "his" way.
2020-01-05 13:42:26.194739;cEi7_YQoQcubJd7SCCkxOQ;Chuck Norris shoved a Saint Bernard up Richard Gere's ass.
2020-01-05 13:42:21.179347;KxyjOoJHRRWwlK9CLF_IdA;Remember when I said Chuck Norris was slower than Sonic. I lied. Their top speed is equal.
2020-01-05 13:42:30.730109;P4V35xM8Tteiy8vvBMp3IQ;Chuck Norris doesn't suffer from premature ejaculation. He enjoys the fact she gets nothing out of it.
2020-01-05 13:42:24.142371;Dyn6v0FkROiU8GypQmytSg;When Chuck Norris' balls dropped, the Earth itself wobbled on its axis.
2020-01-05 13:42:19.576875;czip-do5sbcehb7meep_hq;Chuck Norris's version of a "chocolate milkshake" is a raw porterhouse wrapped around ten Hershey bars, and doused in diesel fuel.
2020-01-05 13:42:20.568859;ps5pJ3wrReOrLhPdmTYTxQ;Chuck Norris can surf the net on his abacus
2020-01-05 13:42:27.496799;tz8YDBh5RpeALLexNn_oaA;There is no such thing as tornados. Chuck Norris just hates trailer parks.
2020-01-05 13:42:26.991637;G_ket8yvQiuPIyxKvQrnqw;Chuck Norris doesn't look for religious guidance, religious guidance looks for him
2020-01-05 13:42:19.104863;yDFklhAKRmSB3QQNc31lsw;Chuck Norris has 786397348052577686876845967 experience points on Minecraft. It has probably already increased.
2020-01-05 13:42:24.40636;f_aMrxkJSJqtCbTieKqlPg;Chuck Norris chiseled Snoop Dog's snizzel.
2020-01-05 13:42:29.569033;K6vBH_8qTNOG0RnJ8vhwtw;Chuck Norris regularly smashes open his computer to eat the cookies within.
2020-01-05 13:42:21.179347;5ctRmvZHS9y5n08PNBQM5A;Steven Seagal crossed the road because Chuck Norris stuffed Seagal's head up a chicken's ass.
2020-01-05 13:42:24.40636;xf6dAvE-R4WCaRRq7uM7nw;Chuck Norris cum is bottled and sold as a strong alcoholic beverage in Greece. The greeks call this drink "ouzo".
2020-01-05 13:42:23.240175;PFRkezc3Q4SBB_bhY53iBw;Chuck Norris once won The Indianapolis 500 while driving bulldozer in reverse.
2020-01-05 13:42:21.179347;ahA5OwxMSoao26goWaa-gg;Some people have wondered why Chuck Norris never played hockey. Would you want to face Chuck Norris with blades attached to his feet?
2020-01-05 13:42:25.905626;UPSXwN5jTi6aZ72ND30WsQ;In the 80's, Chuck Norris wore what stylists referred to as 'a Fuck-You Mullet'.
2020-01-05 13:42:21.795084;niggAcouTRigHgOi_gBX8g;Chuck Norris is in everyone of the devil's nightmares
2020-01-05 13:42:21.455187;sEmucRFzS4y67cRbA4gstw;Chuck Norris once walked down the street with an erection.......there were no survivors.
2020-01-05 13:42:26.447675;ry14ymq8Q2KifeWO4ggfRg;When Chuck Norris is a contestant on "Jeopardy," he can answer in any form he damn well chooses.
2020-01-05 13:42:24.40636;FzVBctJ8Qn2WxZNARLag6Q;Chuck Norris once impregnated a Jumbo Jet and fathered a squadron of F-15 fighter jets.
2020-01-05 13:42:29.855523;dJQ2OqkBQPqfksj9maoxYQ;Chuck Norris can beat Arnie in an Arnold Schwarzenegger Impersonation contest.
2020-01-05 13:42:18.823766;pOzwkIRkT9SXP_GCzrD2QQ;Chuck Norris walked into a gay bar and came out with cindy crawford chuck gets the women anytime anywhere.
2020-01-05 13:42:21.179347;OR_hvGVnSSiaGmEet4rEFA;Contrary To Popular Belief, Chuck Norris Won Super Bowl 46. By Phone
2020-01-05 13:42:28.420821;Ifee1LxXRBGB0Nwzps8UiA;Chuck Norris can kill you in 17 interesting and horrifying ways just by shaking your hand.
2020-01-05 13:42:20.841843;rQJ7ACGKQj-gTmhnXLyiNQ;Chuck Norris had appendicitis so he removed his appendix with his pocket knife and closed the wound with a staple gun.
2020-01-05 13:42:28.143137;abGSW5n4QaqV0eWJa48zWg;Chuck Norris is the greatest matador who ever lived.
2020-01-05 13:42:21.795084;PbXpjhvDTTWvL_KRoQactA;Some guys think they're a badass because they beat up a guy in a bar fight. Chuck Norris once beat a Jeep to death.
2020-01-05 13:42:22.701402;9DIfzC0kSUyg18Fguhv2-g;Norris 25:17. "The path of the righteous man (me) is beset on all sides by the inequities of the dumbasses and the tyranny of suited girlymen. Blessed is he who, in the name of charity and good will, sends boxes of cigars and crates of beer to me. For I am truly the Mack Daddy and the killer of lost children. And I will roundhouse kick thee with great vengeance and furious anger those who attempt to look at me sideways. And you will know I am the Lord, Chuck Norris, when I lay my vengeance upon you."
